こと,コト
人,ヒト
方,ホウ
自分,ジブン
日,ヒ
家,イエ
気,キ
子ども,コドモ
間,アイダ
問題,モンダイ
わけ,ワケ
手,テ
人間,ニンゲン
国,クニ
男,オトコ
社会,シャカイ
顔,カオ
次,ツギ
言葉,コトバ
子,コ
力,チカラ
心,ココロ
時代,ジダイ
世界,セカイ
女,オンナ
会社,カイシャ
声,コエ
とも,トモ
下,シタ
会,カイ
女性,ジョセイ
法,ホウ
相手,アイテ
本当,ホントウ
学校,ガッコウ
点,テン
母,ハハ
形,カタチ
方法,ホウホウ
はず,ハズ
企業,キギョウ
情報,ジョウホウ
頭,アタマ
先生,センセイ
名,ナ
経済,ケイザイ
大学,ダイガク
父,チチ
店,ミセ
口,クチ
市,シ
語,ゴ
水,ミズ
気持ち,キモチ
主義,シュギ
側,ガワ
地,チ
県,ケン
道,ミチ
山,ヤマ
場,バ
姿,スガタ
状態,ジョウタイ
自然,シゼン
部屋,ヘヤ
部分,ブブン
実,ジツ
学,ガク
事件,ジケン
一般,イッパン
地域,チイキ
理由,リユウ
身,ミ
政治,セイジ
神,カミ
場所,バショ
音,オト
図,ズ
内容,ナイヨウ
条,ジョウ
違い,チガイ
外,ソト
事業,ジギョウ
状況,ジョウキョウ
文化,ブンカ
制度,セイド
家族,カゾク
程度,テイド
型,カタ
個人,コジン
村,ムラ
例,レイ
親,オヤ
歴史,レキシ
中心,チュウシン
目的,モクテキ
元,モト
感,カン
環境,カンキョウ
政府,セイフ
技術,ギジュツ
最後,サイゴ
色,イロ
基本,キホン
写真,シャシン
感じ,カンジ
名前,ナマエ
足,アシ
保険,ホケン
地方,チホウ
世紀,セイキ
新聞,シンブン
客,キャク
国民,コクミン
精神,セイシン
娘,ムスメ
全体,ゼンタイ
病院,ビョウイン
論,ロン
効果,コウカ
行為,コウイ
国家,コッカ
責任,セキニン
自己,ジコ
奴,ヤツ
軍,グン
海,ウミ
商品,ショウヒン
夫,オット
式,シキ
花,ハナ
同時,ドウジ
対象,タイショウ
船,フネ
